Date,Open,High,Low,Close,Adj Close,Volume,USD_Volume,Growth_Rate
43069,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,8.50876E+11,49.41004015
43100,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952,1.9329E+12,62.2010881
43131,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064,4.20212E+12,44.73863955
43159,877.934021,890.107971,855.124023,855.198975,855.198975,1963980032,1.67959E+12,-17.51473849
43190,395.003998,418.467987,392.953003,396.457001,396.457001,1323920000,5.24877E+11,-54.54517364
43220,689.760986,694.439026,666.117004,669.924011,669.924011,2853100032,1.91136E+12,76.47831042
43251,558.497009,585.538025,557.065979,577.64502,577.64502,1985040000,1.14665E+12,-14.2467499
43281,436.209015,458.796997,436.209015,455.179993,455.179993,1475939968,6.71818E+11,-21.52651278
43312,457.244995,457.244995,430.444,433.867004,433.867004,1820680000,7.89933E+11,-4.417316574
43343,284.119995,284.550995,278.513,283.003998,283.003998,1411910000,3.99576E+11,-32.73772791
43373,231.328995,236.985992,228.445007,232.848007,232.848007,1765560000,4.11107E+11,-21.15960715
43404,197.649002,198.337997,196.531006,197.380997,197.380997,1442380000,2.84698E+11,-14.46778031
43434,117.728096,119.423767,111.744965,113.171417,113.171417,2020748396,2.28691E+11,-43.09333621
43465,140.031067,140.181152,132.519394,133.368256,133.368256,2358360234,3.1453E+11,12.41844951
43496,108.900772,110.458359,106.525352,107.061012,107.061012,2828796031,3.02854E+11,-23.97283125
43524,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953,6.20204E+11,27.07603073
43555,142.139221,142.189209,140.697372,141.514099,141.514099,4249050197,6.01301E+11,3.716172319
43585,155.172775,162.432251,155.172775,162.166031,162.166031,6275803460,1.01772E+12,14.33805459
43616,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,3.01762E+12,66.71826692
43646,319.584045,322.789581,290.695984,290.695984,290.695984,10303111000,2.99507E+12,9.534872184
43677,210.492416,218.654144,210.437912,218.654144,218.654144,6003828340,1.31276E+12,-25.53694482
43708,168.887894,174.323975,167.802582,172.469788,172.469788,5830212249,1.00554E+12,-20.81583835
43738,170.461349,179.872208,167.036606,179.872208,179.872208,7552915148,1.35856E+12,4.802663063
43769,184.797623,188.751266,180.068359,183.966919,183.966919,9607939606,1.76754E+12,3.736595893
43799,155.286407,156.691299,151.225342,152.539688,152.539688,6565950868,1.00157E+12,-17.08442904
43830,132.612274,133.732681,128.798157,129.610855,129.610855,8936866397,1.15831E+12,-14.27044404
43861,184.736908,185.405838,176.296814,180.160172,180.160172,11728616394,2.11303E+12,37.73502641
43890,226.83345,232.256622,219.848511,219.848511,219.848511,18181296376,3.99713E+12,19.69498723
43921,132.820923,134.274139,131.652893,133.593567,133.593567,11065246317,1.47825E+12,-38.99017976
43951,216.909134,227.529694,206.43692,207.602051,207.602051,28089191904,5.83137E+12,53.05985675
43982,242.351379,244.045258,230.052826,230.975708,230.975708,12234904813,2.82597E+12,7.822181552
44012,227.96843,229.476807,224.815186,226.315002,226.315002,6094093001,1.37918E+12,-8.371436359
44043,334.633728,348.611359,329.340942,345.554657,345.554657,12030600492,4.15723E+12,49.51734888
44074,428.509003,438.560333,419.770172,435.079742,435.079742,12774741797,5.55803E+12,12.94913628
44104,360.038513,361.178772,353.327942,359.937866,359.937866,11818610610,4.25397E+12,-24.54953885
44135,382.820038,393.010132,381.295258,386.590332,386.590332,11276963426,4.35957E+12,9.451832433
44165,575.75708,615.24054,571.537781,614.842529,614.842529,20276867833,12467080698640.50,55.12295501
44196,751.626648,754.299438,726.511902,737.803406,737.803406,13926846861,10275275048886.20,23.30584122
44227,1376.823608,1378.916016,1288.501587,1314.986206,1314.986206,25198853581,33136144866028.70,80.04444458
44255,1459.860474,1468.391479,1300.472168,1416.04895,1416.04895,27637026080,39135381761706.60,3.433676511
44286,1846.098267,1947.837769,1793.002197,1918.362061,1918.362061,30226902621,57986143209667.90,22.60194873
44316,2757.734131,2796.054932,2728.169922,2773.207031,2773.207031,29777179889,82578284631526.60,40.2538559
44347,2387.198486,2715.85498,2279.505127,2714.945313,2714.945313,31007383150,84183349551487.70,-7.839643971
44377,2164.216309,2282.989014,2090.760742,2274.547607,2274.547607,25828056268,58747143577840.70,-13.63084139
44408,2461.575684,2551.161133,2423.816162,2536.209961,2536.209961,18001710283,45656116934780.70,19.99448328
44439,3227.758057,3466.992188,3195.216553,3433.732666,3433.732666,27280502987,93673954251372.50,34.03321494
44469,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099,53012847430553.30,-6.906621083
44500,4322.744141,4394.449707,4179.016113,4288.074219,4288.074219,17498160238,75033409796498.70,29.64635916
44530,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111,132582358026166.00,7.070118603
44561,3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268,52136083270938.30,-19.71570409
44592,2603.263428,2697.735352,2489.072266,2688.278809,2688.278809,13778234614,37039736138246.50,-28.68713867
44620,2621.172119,2929.18042,2586.388184,2919.201172,2919.201172,19266124733,56241693900471.80,4.551527584
44651,3385.289307,3435.128418,3272.93457,3281.642822,3281.642822,17685495686,58037479971473.90,10.40064807
44681,2815.533447,2836.827637,2727.40625,2730.186768,2730.186768,13520941867,36914696576180.60,-20.85387977
44712,1996.408081,2005.490967,1932.352051,1942.328003,1942.328003,18363115560,35667193574513.00,-31.31203924
44742,1099.353149,1103.69043,1009.094849,1067.298828,1067.298828,16350755497,17451142178862.70,-41.47199084
44773,1695.884766,1745.883179,1672.612793,1681.517334,1681.517334,14200735370,23878782680201.90,58.6685379
44804,1524.286499,1612.358887,1524.286499,1553.684937,1553.684937,20591680941,31992984505541.70,-4.984776988
44834,1335.646484,1368.743408,1320.383179,1327.978638,1327.978638,14250100093,18923828512865.80,-16.27801685
44865,1590.481323,1630.452881,1555.918945,1572.714478,1572.714478,19306919714,30364272159791.40,19.90402789
44895,1216.928711,1302.038696,1215.497925,1295.688599,1295.688599,9836925304,12745591965607.40,-17.97905715
44926,1199.360107,1205.088623,1194.203735,1196.77124,1196.77124,3018513333,3.61247E+12,-6.229280751
44957,1567.419922,1598.517578,1563.804321,1586.5354,1586.5354,6585191019,10447638667405.60,32.10506602
44985,1634.502441,1644.435791,1602.428101,1605.895142,1605.895142,6323676957,10155162104823.60,-2.186486909
45016,1793.620117,1844.677368,1783.142212,1822.022095,1822.022095,9149379763,16670372083731.90,9.533796116
45046,1908.741333,1938.417969,1876.924316,1876.924316,1876.924316,6539641957,12274413007027.10,3.476767737
45077,1901.098267,1907.0354,1852.094727,1874.130493,1874.130493,5984512548,11215757451947.90,2.302221551
45107,1852.008423,1945.274292,1831.281006,1933.188965,1933.188965,12895131248,24928725430860.30,3.812023146
45138,1861.755249,1875.629395,1851.915405,1856.162354,1856.162354,4391613314,8.15155E+12,-4.195023797
45169,1705.364502,1720.011963,1634.850952,1645.63916,1645.63916,6593153505,10849951595719.30,-12.08216192
45199,1667.834473,1692.531128,1666.563843,1671.161865,1671.161865,3155292192,5.273E+12,2.620256942
45230,1810.131592,1819.972656,1784.567627,1816.458984,1816.458984,6477922747,11766880971446.10,4.766874037
45260,2029.358398,2054.444336,2022.461792,2052.556152,2052.556152,8107789163,16641692525634.60,11.12379261
45291,2291.945313,2318.512939,2261.394287,2281.471191,2281.471191,6871481744,15677087638418.40,9.310889924
45312,2469.798584,2469.798584,2464.171875,2465.65918,2465.65918,5195812352,12811102423266.20,4.817835979
